pointID,StudyAreaNumber,TransectNumber,ORIG_FID,Side,Latitude,Longitude
97540,49,2,98,A,154580.545099999755621,535929.705399997532368
97540,49,2,98,B,152580.545099999755621,535929.705399997532368
97540,49,3,99,A,154580.545099999755621,536111.523599997162819
97540,49,3,99,B,152580.545099999755621,536111.523599997162819
97540,49,4,100,A,154580.545099999755621,536293.341700002551079
97540,49,4,100,B,152580.545099999755621,536293.341700002551079
97540,49,5,101,A,154580.545099999755621,536475.159900002181530
97540,49,5,101,B,152580.545099999755621,536475.159900002181530
97540,49,6,102,A,154580.545099999755621,536656.978100001811981
97540,49,6,102,B,152580.545099999755621,536656.978100001811981
97540,49,7,103,A,154580.545099999755621,536838.796300001442432
97540,49,7,103,B,152580.545099999755621,536838.796300001442432
97540,49,8,104,A,154580.545099999755621,537020.614500001072884
97540,49,8,104,B,152580.545099999755621,537020.614500001072884
97540,49,9,105,A,154580.545099999755621,537202.432700000703335
97540,49,9,105,B,152580.545099999755621,537202.432700000703335
97540,49,10,106,A,154580.545099999755621,537384.250799998641014
97540,49,10,106,B,152580.545099999755621,537384.250799998641014
97540,49,11,107,A,154580.545099999755621,537566.068999998271465
97540,49,11,107,B,152580.545099999755621,537566.068999998271465
97540,49,12,108,A,154580.545099999755621,537747.887199997901917
97540,49,12,108,B,152580.545099999755621,537747.887199997901917
160503,45,12,109,A,182579.843299999833107,553257.528200000524521
160503,45,12,109,B,180579.843299999833107,553257.528200000524521
160503,45,11,110,A,182579.843299999833107,553075.710000000894070
160503,45,11,110,B,180579.843299999833107,553075.710000000894070
160503,45,10,111,A,182579.843299999833107,552893.891800001263618
160503,45,10,111,B,180579.843299999833107,552893.891800001263618
160503,45,9,112,A,182579.843299999833107,552712.073700003325939
160503,45,9,112,B,180579.843299999833107,552712.073700003325939
160503,45,8,113,A,182579.843299999833107,552530.255500003695488
160503,45,8,113,B,180579.843299999833107,552530.255500003695488
160503,45,7,114,A,182579.843299999833107,552348.437299996614456
160503,45,7,114,B,180579.843299999833107,552348.437299996614456
160503,45,6,115,A,182579.843299999833107,552166.619099996984005
160503,45,6,115,B,180579.843299999833107,552166.619099996984005
160503,45,5,116,A,182579.843299999833107,551984.800899997353554
160503,45,5,116,B,180579.843299999833107,551984.800899997353554
160503,45,4,117,A,182579.843299999833107,551802.982699997723103
160503,45,4,117,B,180579.843299999833107,551802.982699997723103
160503,45,3,118,A,182579.843299999833107,551621.164599999785423
160503,45,3,118,B,180579.843299999833107,551621.164599999785423
160503,45,2,119,A,182579.843299999833107,551439.346400000154972
160503,45,2,119,B,180579.843299999833107,551439.346400000154972
160503,45,1,120,A,182579.843299999833107,551257.528200000524521
160503,45,1,120,B,180579.843299999833107,551257.528200000524521
